Campaign,Ad Group,Keyword,Match Type,Max CPC
Brand — SolarFarms / Lighthief,SolarFarms Brand,[solarfarms.cy],Exact,2.00
Brand — SolarFarms / Lighthief,SolarFarms Brand,[solarfarms cyprus],Exact,2.00
Brand — SolarFarms / Lighthief,SolarFarms Brand,[solar farms cy],Exact,2.00
Brand — SolarFarms / Lighthief,SolarFarms Brand,"solarfarms",Phrase,2.00
Brand — SolarFarms / Lighthief,SolarFarms Brand,[solar farms cyprus investment],Exact,2.00
Brand — SolarFarms / Lighthief,SolarFarms Brand,[solarfarms cy],Exact,2.00
Brand — SolarFarms / Lighthief,Lighthief Brand,[lighthief],Exact,2.00
Brand — SolarFarms / Lighthief,Lighthief Brand,[lighthief cyprus],Exact,2.00
Brand — SolarFarms / Lighthief,Lighthief Brand,[lighthief solar],Exact,2.00
Brand — SolarFarms / Lighthief,Lighthief Brand,"lighthief energy",Phrase,2.00
Brand — SolarFarms / Lighthief,Lighthief Brand,[lighthief bess],Exact,2.00
Brand — SolarFarms / Lighthief,Lighthief Brand,[lighthief cyprus ltd],Exact,2.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"solar farm investment",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"invest in solar farm",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"solar park investment",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,[solar farm investment cyprus],Exact,6.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"buy solar farm europe",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"solar farm for sale cyprus",Phrase,5.50
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"solar energy investment opportunities",Phrase,4.50
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,[turnkey solar farm],Exact,5.50
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,"solar farm investment europe",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Solar Farm Investment,[invest in solar cyprus],Exact,6.00
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,"renewable energy investment cyprus",Phrase,4.50
