product,variant,lang,test_angle,image_headline,primary_text,headline_1,headline_2,description,cta,audience
net-billing,home-a,en,pain,THOSE MIDDAY UNITS ARE CHEAP.,Net billing changed the rules. Midday export is cheap. Keep your solar in a battery and use it at night. Lower bills for Cyprus homes and shops. Installed within 2 weeks.,Keep your solar,Use sunshine after dark,Net billing systems for Cyprus,LEARN_MORE,homeowners
net-billing,home-b,en,aspiration,BREAK UP WITH PEAK-RATE EVENINGS.,Solar + battery. Lower bills. Keep your solar in a battery and use it at night. Cyprus net billing kits for homes and shops. Installed within 2 weeks.,Solar + battery. Lower bills.,Net billing done properly,Free consultation,LEARN_MORE,homeowners
standalone,home-a,en,pain,POWER CUTS AGAIN?,Tired of power cuts and rising electricity prices in Cyprus? Go full off-grid. Fully off-grid solar + battery systems for Cyprus homes and shops. Installed within 2 weeks.,Go full off-grid in Cyprus,No more power cuts,Free consultation for homes and shops,LEARN_MORE,homeowners
standalone,home-b,en,aspiration,LIVE OFF-GRID. LIVE FREE.,Live off-grid. Live free. Fully off-grid solar + battery systems for Cyprus homes and shops. 100% energy independence. Installed within 2 weeks.,Live off-grid. Live free.,Energy independence for Cyprus,Installed within 2 weeks,LEARN_MORE,homeowners
bess,commercial-a,en,commercial,BATTERY NEXT TO THE PARK.,A battery energy storage system built next to a Cyprus solar park. Book a free commercial consultation with Lighthief.,Battery storage for solar parks,Free commercial consultation,Lighthief BESS for Cyprus,LEARN_MORE,parks-sme
bess,commercial-b,en,investor,STORAGE BESIDE THE ARRAY.,Park already producing? A battery energy storage system sits beside the array. Ask Lighthief for a free commercial consultation.,Storage beside the array,BESS for Cyprus developers,Free commercial consultation,LEARN_MORE,developers
net-billing,home-a,el,pain,ΟΙ ΜΕΣΗΜΕΡΙΑΝΕΣ ΜΟΝΑΔΕΣ ΕΙΝΑΙ ΦΘΗΝΕΣ.,Άλλαξαν οι κανόνες του net billing. Η εξαγωγή το μεσημέρι είναι φθηνή. Κράτα τον ήλιο στην μπαταρία και χρησιμοποίησέ τον το βράδυ. Χαμηλότεροι λογαριασμοί για σπίτια και καταστήματα στην Κύπρο. Εγκατάσταση σε 2 εβδομάδες.,Κράτα τον ήλιο σου,Ήλιος μετά το σκοτάδι,Συστήματα net billing στην Κύπρο,LEARN_MORE,homeowners
net-billing,home-b,el,aspiration,ΧΩΡΙΣΕ ΜΕ ΤΙΣ ΑΚΡΙΒΕΣ ΒΡΑΔΙΝΕΣ ΩΡΕΣ.,Ηλιακά + μπαταρία. Χαμηλότεροι λογαριασμοί. Κράτα τον ήλιο στην μπαταρία και χρησιμοποίησέ τον το βράδυ. Εγκατάσταση σε 2 εβδομάδες.,Ηλιακά + μπαταρία,Net billing σωστά,Δωρεάν συμβουλή,LEARN_MORE,homeowners
standalone,home-a,el,pain,ΠΑΛΙ ΔΙΑΚΟΠΗ ΡΕΥΜΑΤΟΣ;,Πήγαινε πλήρως off-grid. Πλήρη συστήματα ηλιακών και μπαταρίας για σπίτια και καταστήματα στην Κύπρο. Εγκατάσταση σε 2 εβδομάδες.,Πλήρως off-grid στην Κύπρο,Όχι άλλες διακοπές,Δωρεάν συμβουλή,LEARN_MORE,homeowners
standalone,home-b,el,aspiration,ΖΗΣΕ OFF-GRID. ΖΗΣΕ ΕΛΕΥΘΕΡΑ.,Ζήσε off-grid. Ζήσε ελεύθερα. Πλήρη συστήματα ηλιακών και μπαταρίας. 100% ενεργειακή ανεξαρτησία. Εγκατάσταση σε 2 εβδομάδες.,Ζήσε off-grid. Ζήσε ελεύθερα.,Ενεργειακή ανεξαρτησία,Εγκατάσταση σε 2 εβδομάδες,LEARN_MORE,homeowners
bess,commercial-a,el,commercial,ΜΠΑΤΑΡΙΑ ΔΙΠΛΑ ΣΤΟ ΠΑΡΚΟ.,Σύστημα αποθήκευσης ενέργειας δίπλα σε φωτοβολταϊκό πάρκο στην Κύπρο. Κλείσε δωρεάν εμπορική συμβουλή με τη Lighthief.,Αποθήκευση για πάρκα,Δωρεάν εμπορική συμβουλή,Lighthief BESS στην Κύπρο,LEARN_MORE,parks-sme
bess,commercial-b,el,investor,ΑΠΟΘΗΚΕΥΣΗ ΔΙΠΛΑ ΣΤΟ ΠΑΡΚΟ.,Το πάρκο ήδη παράγει; Ένα σύστημα αποθήκευσης κάθεται δίπλα στη συστοιχία. Ζήτησε δωρεάν εμπορική συμβουλή από τη Lighthief.,Αποθήκευση δίπλα στο πάρκο,BESS για developers,Δωρεάν εμπορική συμβουλή,LEARN_MORE,developers
